ID	Año	Extension	Densidad	Calcificacion	Estado	Autor	sitio	Lugar escaneo	Observaciones	sexo
AnaPacoC	2018	1.3279	0.527643144	0.700657331	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2017	1.1675	0.602105928	0.70295867	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2016	1.16125	0.686905315	0.797668796	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2015	1.07545	0.58387224	0.6279254	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2014	1.01835	0.566339473	0.576731803	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2013	0.9725	0.525943996	0.511480537	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2012	1.070275	0.550170765	0.588834016	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2011	0.981725	0.54695125	0.536955716	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2010	1.069025	0.602370401	0.643949017	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2009	0.918925	0.634248695	0.582826982	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2008	0.952175	0.552221376	0.525811388	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2007	0.9316	0.62403023	0.581346562	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2006	1.1462	0.699515622	0.801784806	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2005	1.1533	0.816	0.9410928	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2004	0.6017	1.0562	0.63551554	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoC	2003	0.9465	1.0861	1.02799365	Muerto	Paco	Catedral	Cancun	CH, base	Macho
AnaPacoD	2018	1.35	0.543581959	0.733835644	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2017	1.311	0.88255452	1.157028976	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2016	1.266	0.890884713	1.127860046	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2015	1.377	0.513751567	0.707435908	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2014	1.321	0.582881092	0.769985922	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2013	1.266	0.47080756	0.596042371	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2012	1.199	0.52299544	0.627071532	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2011	1.176	0.59086054	0.694851995	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2010	1.221	0.578936461	0.706881418	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2009	1.198	0.467238278	0.559751457	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2008	1.12	0.532763834	0.596695494	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoD	2007	1.3	0.537734859	0.699055317	Muerto	Paco	Catedral	Cancun	CH, punta	Macho
AnaPacoB_06	2018	1.2797	0.610996916	0.781892753	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2017	0.9119	0.638937874	0.582647447	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2016	1.123333333	0.551488453	0.619505363	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2015	1.260933333	0.559887639	0.705980987	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2014	1.397733333	0.604339683	0.84470572	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2013	1.241166667	0.608528098	0.755284792	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2012	1.3501	0.6105977	0.824367954	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2011	1.0317	0.656536869	0.677349088	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2010	1.1113	0.62252472	0.691811721	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2009	1.27245	0.795926654	1.012776871	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2008	1.20195	0.707318255	0.850161176	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2007	1.1467	0.695962775	0.798060514	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2006	1.3258	0.851166572	1.128476641	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2005	1.0015	0.920066436	0.921446536	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2004	1.2075	0.979223438	1.182412301	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2003	0.7396	0.9243	0.68361228	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2002	0.628	0.869548918	0.546076721	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2001	1.2897	0.869169453	1.120967844	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	2000	0.9294	0.884190432	0.821766588	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	1999	0.668	0.894093416	0.597254402	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	1998	1.216	0.901127614	1.095771179	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	1997	1.2623	0.902977619	1.139828648	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaPacoB_06	1996	1.2728	0.848197344	1.079585579	Muerto	Paco	Catedral	Cancun	Gr, Medio	Macho
AnaLorenzoA1_06	2018	1.3526	0.560025939	0.757491086	Muerto	Paco	Catedral	Cancun		Macho
AnaLorenzoA1_06	2017	1.3366	0.604693086	0.808232779	Muerto	Paco	Catedral	Cancun		Macho
AnaLorenzoA1_06	2016	1.2614	0.585110418	0.738058282	Muerto	Paco	Catedral	Cancun		Macho
AnaLorenzoA1_06	2015	1.34535	0.545983592	0.734539025	Muerto	Paco	Catedral	Cancun		Macho
AnaLorenzoA1_06	2014	1.15855	0.598843629	0.693790286	Muerto	Paco	Catedral	Cancun		Macho
AnaLorenzoA1_06	2013	1.27505	0.579263249	0.738589606	Muerto	Paco	Catedral	Cancun		Macho
AnaLorenzoA1_06	2012	1.1117	0.669167249	0.743913231	Muerto	Paco	Catedral	Cancun		Macho
AnaLorenzoA1_06	2011	0.9281	0.867610778	0.805229563	Muerto	Paco	Catedral	Cancun		Macho
AnaLorenzoA1_06	2010	0.9282	0.929554469	0.862812458	Muerto	Paco	Catedral	Cancun		Macho
AnaLorenzoA1_06	2009	1.3093	1.05643798	1.383194247	Muerto	Paco	Catedral	Cancun		Macho
Mac5_01	2014	1.1285	1.431832439	1.615822908	Vivo	Mac	Catedral	Cancun		Macho
Mac5_01	2013	1.2525	1.226051654	1.535629697	Vivo	Mac	Catedral	Cancun		Macho
Mac5_01	2012	1.1245	1.333487735	1.499506958	Vivo	Mac	Catedral	Cancun		Macho
Mac5_01	2011	1.0595	1.503870483	1.593350777	Vivo	Mac	Catedral	Cancun		Macho
Mac5_01	2010	0.8965	1.562303181	1.400604802	Vivo	Mac	Catedral	Cancun		Macho
Mac5_01	2009	0.9125	1.49681942	1.365847721	Vivo	Mac	Catedral	Cancun		Macho
Mac5_01	2008	0.871	1.560311445	1.359031269	Vivo	Mac	Catedral	Cancun		Macho
Mac5_01	2007	0.9295	1.713246725	1.592462831	Vivo	Mac	Catedral	Cancun		Macho
Mac5_01	2006	1.187	1.632467251	1.937738627	Vivo	Mac	Catedral	Cancun		Macho
Mac5_01	2005	1.017	1.732467251	1.761919194	Vivo	Mac	Catedral	Cancun		Macho
Mac5_01	2004	0.757	1.782467251	1.349327709	Vivo	Mac	Catedral	Cancun		Macho
