Specie	Year	Extension	Density	Calcification	Zone	Status	ID	Group
OFAV	2018	1.058396	0.981820114	1.025071728	BackReef	dead	39	B
OFAV	2017	1.221388	0.961836983	1.153202035	BackReef	dead	39	B
OFAV	2016	1.055352	1.067559544	1.106661685	BackReef	dead	39	B
OFAV	2015	1.03986	1.107622819	1.134890125	BackReef	dead	39	B
OFAV	2014	1.101226	1.117319843	1.186380212	BackReef	dead	39	B
OFAV	2013	1.119612	1.049063106	1.114529157	BackReef	dead	39	B
OFAV	2012	1.0277725	0.850581886	0.868042908	BackReef	dead	39	B
OFAV	2011	1.12	0.906052891	1.018285218	BackReef	dead	39	B
OFAV	2010	1.089	0.794389821	0.862044769	BackReef	dead	39	B
OFAV	2009	1.113	0.855017234	0.948466797	BackReef	dead	39	B
OFAV	2008	0.887	1.202364735	1.092790277	BackReef	dead	39	B
OFAV	2007	0.8975	1.101320987	0.975287454	BackReef	dead	39	B
